ticker,issuer_cik,accession_number,filing_date,period_of_report,reporting_owner_name,reporting_owner_cik,officer_title,director,ten_percent_owner,security_title,transaction_date,transaction_code,transaction_code_description,transaction_classification,is_open_market_purchase,is_open_market_sale,is_derivative,shares,price_per_share,transaction_value,shares_owned_following,ownership_nature_direct_or_indirect,ownership_nature_explanation
MAIA,0001878313,0001878313-26-000062,2026-06-02,2026-06-01,Vitoc Vlad,0001913257,Chief Executive Officer,True,True,Common Stock,2026-06-01,P,Open-market purchase,OPEN_MARKET_PURCHASE,True,False,False,72700.0,1.3877,100885.79,976121.0,D,
MAIA,0001878313,0001878313-26-000061,2026-06-02,2026-06-01,Smith Stan,0001913199,,True,False,Common Stock,2026-06-01,P,Open-market purchase,OPEN_MARKET_PURCHASE,True,False,False,75000.0,1.336,100200.0,1519178.0,I,See Footnote
MAIA,0001878313,0001878313-26-000060,2026-06-02,2026-06-01,Gryaznov Sergei,0001913228,Chief Scientific Officer,False,False,Common Stock,2026-06-01,P,Open-market purchase,OPEN_MARKET_PURCHASE,True,False,False,2000.0,1.345,2690.0,46511.0,D,
MAIA,0001878313,0001878313-26-000021,2026-01-12,2022-09-19,Smith Stan,0001913199,,True,False,Common Stock,2022-09-19,P,Open-market purchase,OPEN_MARKET_PURCHASE,True,False,False,2700.0,3.6884,9958.68,1424178.0,I,See Footnote
MAIA,0001878313,0001878313-26-000021,2026-01-12,2022-09-19,Smith Stan,0001913199,,True,False,Common Stock,2024-05-01,G,Gift,GIFT,False,False,False,20000.0,0.0,0.0,1444178.0,I,See Footnote
MAIA,0001878313,0001878313-25-000073,2025-12-23,2025-12-22,Smith Stan,0001913199,,True,False,Common Stock,2025-12-22,P,Open-market purchase,OPEN_MARKET_PURCHASE,True,False,False,57189.0,1.224,69999.336,1421478.0,I,See Footnote
MAIA,0001878313,0001878313-25-000071,2025-12-23,2025-12-22,CHAOUKI STEVEN M,0001776865,,True,False,Common Stock,2025-12-22,P,Open-market purchase,OPEN_MARKET_PURCHASE,True,False,False,40849.0,1.224,49999.176,151873.0,D,
MAIA,0001878313,0001878313-25-000069,2025-12-23,2025-12-22,Louie Ngar Yee,0001913264,,True,False,Common Stock,2025-12-22,P,Open-market purchase,OPEN_MARKET_PURCHASE,True,False,False,81699.0,1.224,99999.576,1248888.0,D,
MAIA,0001878313,0001878313-25-000063,2025-12-09,2025-12-05,Smith Stan,0001913199,,True,False,Common Stock,2025-12-05,P,Open-market purchase,OPEN_MARKET_PURCHASE,True,False,False,4580.0,1.1997,5494.626,4580.0,I,See footnote
MAIA,0001878313,0001878313-25-000063,2025-12-09,2025-12-05,Smith Stan,0001913199,,True,False,Common Stock,2025-12-05,P,Open-market purchase,OPEN_MARKET_PURCHASE,True,False,False,4580.0,1.19,5450.2,4580.0,I,See footnote
MAIA,0001878313,0001878313-25-000063,2025-12-09,2025-12-05,Smith Stan,0001913199,,True,False,Common Stock,2025-12-05,P,Open-market purchase,OPEN_MARKET_PURCHASE,True,False,False,4580.0,1.2,5496.0,4580.0,I,See footnote
MAIA,0001878313,0001878313-25-000060,2025-12-04,2025-11-25,Vitoc Vlad,0001913257,Chief Executive Officer,True,True,Common Stock,2025-11-25,P,Open-market purchase,OPEN_MARKET_PURCHASE,True,False,False,10500.0,0.9661,10144.05,831421.0,D,
MAIA,0001878313,0001878313-25-000059,2025-12-04,2025-11-26,Vitoc Vlad,0001913257,Chief Executive Officer,True,True,Common Stock,2025-11-26,P,Open-market purchase,OPEN_MARKET_PURCHASE,True,False,False,22000.0,1.0463,23018.6,853421.0,D,
MAIA,0001878313,0001878313-25-000059,2025-12-04,2025-11-26,Vitoc Vlad,0001913257,Chief Executive Officer,True,True,Common Stock,2025-11-28,P,Open-market purchase,OPEN_MARKET_PURCHASE,True,False,False,50000.0,1.1366,56830.0,903421.0,D,
MAIA,0001878313,0001878313-25-000056,2025-12-01,2025-11-26,Vitoc Vlad,0001913257,Chief Executive Officer,True,True,Common Stock,2025-11-28,P,Open-market purchase,OPEN_MARKET_PURCHASE,True,False,False,50000.0,1.1366,56830.0,881421.0,D,
MAIA,0001878313,0001878313-25-000056,2025-12-01,2025-11-26,Vitoc Vlad,0001913257,Chief Executive Officer,True,True,Common Stock,2025-11-26,P,Open-market purchase,OPEN_MARKET_PURCHASE,True,False,False,22000.0,1.0463,23018.6,853421.0,D,
MAIA,0001878313,0001878313-25-000054,2025-12-01,2025-11-26,Luput Cristian,0001913350,,True,False,Common Stock,2025-11-26,P,Open-market purchase,OPEN_MARKET_PURCHASE,True,False,False,20000.0,1.0808,21616.0,419483.0,D,
MAIA,0001878313,0001878313-25-000054,2025-12-01,2025-11-26,Luput Cristian,0001913350,,True,False,Common Stock,2025-11-28,P,Open-market purchase,OPEN_MARKET_PURCHASE,True,False,False,18145.0,1.1149,20229.8605,437628.0,D,
MAIA,0001878313,0001878313-25-000052,2025-12-01,2025-11-26,Smith Stan,0001913199,,True,False,Common Stock,2025-11-26,P,Open-market purchase,OPEN_MARKET_PURCHASE,True,False,False,15000.0,1.0388,15582.0,1364289.0,I,See Footnote
