ticker,issuer_cik,accession_number,filing_date,period_of_report,reporting_owner_name,reporting_owner_cik,officer_title,director,ten_percent_owner,security_title,transaction_date,transaction_code,transaction_code_description,transaction_classification,is_open_market_purchase,is_open_market_sale,is_derivative,shares,price_per_share,transaction_value,shares_owned_following,ownership_nature_direct_or_indirect,ownership_nature_explanation
NVDA,0001045810,0001243821-26-000005,2026-06-10,2026-06-08,GAWEL SCOTT,0001243821,Principal Accounting Officer,False,False,Common Stock,2026-06-08,A,Grant or award,GRANT_AWARD,False,False,False,45643.0,0.0,0.0,45643.0,D,
NVDA,0001045810,0001243821-26-000005,2026-06-10,2026-06-08,GAWEL SCOTT,0001243821,Principal Accounting Officer,False,False,Common Stock,2026-06-08,A,Grant or award,GRANT_AWARD,False,False,False,13866.0,0.0,0.0,59509.0,D,
NVDA,0001045810,0001768670-26-000002,2026-06-05,2026-06-03,Neal Stephen C,0001768670,,True,False,Common Stock,2026-06-03,S,Open-market sale,OPEN_MARKET_SALE,False,True,False,15500.0,215.7331,3343863.0500000003,116135.0,I,The Neal/Rhyu Revocable Trust dated 5/2/2017
NVDA,0001045810,0001199039-26-000005,2026-06-04,2026-06-02,STEVENS MARK A,0001199039,,True,False,Common Stock,2026-06-02,S,Open-market sale,OPEN_MARKET_SALE,False,True,False,500000.0,222.3774,111188700.0,6899771.0,I,By Trust
NVDA,0001045810,0001199039-26-000005,2026-06-04,2026-06-02,STEVENS MARK A,0001199039,,True,False,Common Stock,2026-06-04,S,Open-market sale,OPEN_MARKET_SALE,False,True,False,100000.0,217.655,21765500.0,6799771.0,I,By Trust
NVDA,0001045810,0001199039-26-000005,2026-06-04,2026-06-02,STEVENS MARK A,0001199039,,True,False,Common Stock,2026-06-04,S,Open-market sale,OPEN_MARKET_SALE,False,True,False,400000.0,220.371,88148400.0,6399771.0,I,By Trust
NVDA,0001045810,0001199039-26-000005,2026-06-04,2026-06-02,STEVENS MARK A,0001199039,,True,False,Common Stock,2026-06-04,G,Gift,GIFT,False,False,False,307500.0,0.0,0.0,6092271.0,I,By Trust
NVDA,0001045810,0001818224-26-000004,2026-05-29,2026-05-27,Dabiri John,0001818224,,True,False,Common,2026-05-27,S,Open-market sale,OPEN_MARKET_SALE,False,True,False,625.0,214.0,133750.0,14163.0,D,
NVDA,0001045810,0001199039-26-000003,2026-03-24,2026-03-20,STEVENS MARK A,0001199039,,True,False,Common Stock,2026-03-20,S,Open-market sale,OPEN_MARKET_SALE,False,True,False,100000.0,172.6068,17260680.0,7521453.0,I,By Trust
NVDA,0001045810,0001199039-26-000003,2026-03-24,2026-03-20,STEVENS MARK A,0001199039,,True,False,Common Stock,2026-03-20,S,Open-market sale,OPEN_MARKET_SALE,False,True,False,121682.0,174.5685,21241844.217,7399771.0,I,By Trust
NVDA,0001045810,0001725292-26-000002,2026-03-20,2026-03-19,Shah Aarti S.,0001725292,,True,False,Common,2026-03-19,S,Open-market sale,OPEN_MARKET_SALE,False,True,False,8516.0,176.2743,1501151.9388000001,46491.0,D,
NVDA,0001045810,0001725292-26-000002,2026-03-20,2026-03-19,Shah Aarti S.,0001725292,,True,False,Common,2026-03-19,S,Open-market sale,OPEN_MARKET_SALE,False,True,False,10282.0,177.0565,1820494.933,36209.0,D,
NVDA,0001045810,0001725292-26-000002,2026-03-20,2026-03-19,Shah Aarti S.,0001725292,,True,False,Common,2026-03-19,S,Open-market sale,OPEN_MARKET_SALE,False,True,False,202.0,177.7335,35902.167,36007.0,D,
NVDA,0001045810,0001526111-26-000005,2026-03-20,2026-03-18,Robertson Donald F Jr,0001526111,Principal Accounting Officer,False,False,Common Stock,2026-03-18,F,Tax withholding or payment in securities,TAX_WITHHOLDING_OR_DISPOSITION,False,False,False,4575.0,181.93,832329.75,342516.0,D,
NVDA,0001045810,0001526111-26-000005,2026-03-20,2026-03-18,Robertson Donald F Jr,0001526111,Principal Accounting Officer,False,False,Common Stock,2026-03-20,S,Open-market sale,OPEN_MARKET_SALE,False,True,False,1196.0,172.5777,206402.92919999998,341320.0,D,
NVDA,0001045810,0001526111-26-000005,2026-03-20,2026-03-18,Robertson Donald F Jr,0001526111,Principal Accounting Officer,False,False,Common Stock,2026-03-20,S,Open-market sale,OPEN_MARKET_SALE,False,True,False,400.0,172.97,69188.0,340920.0,D,
NVDA,0001045810,0001526111-26-000005,2026-03-20,2026-03-18,Robertson Donald F Jr,0001526111,Principal Accounting Officer,False,False,Common Stock,2026-03-20,S,Open-market sale,OPEN_MARKET_SALE,False,True,False,500.0,173.778,86889.0,340420.0,D,
NVDA,0001045810,0001526111-26-000005,2026-03-20,2026-03-18,Robertson Donald F Jr,0001526111,Principal Accounting Officer,False,False,Common Stock,2026-03-20,S,Open-market sale,OPEN_MARKET_SALE,False,True,False,600.0,174.8467,104908.02,339820.0,D,
