ticker,issuer_cik,accession_number,filing_date,seller_name,seller_relationship,securities_to_be_sold,aggregate_market_value,approximate_date_of_sale,broker_name,exchange,notice_date,sale_status,parse_status,error_message
UNKNOWN,0001045810,0001973727-26-000026,2026-06-03,for Whose Account the Securities are To Be Sold,to Issuer,,,,,COMMIS,2026-06-03,proposed,partial,
UNKNOWN,0001045810,0001921094-26-000561,2026-05-27,for Whose Account the Securities are To Be Sold,to Issuer,,,,,COMMIS,2026-05-27,proposed,partial,
UNKNOWN,0001045810,0001628280-26-020268,2026-03-20,for Whose Account the Securities are To Be Sold,to Issuer,,,,,COMMIS,2026-03-20,proposed,partial,
UNKNOWN,0001045810,0001958244-26-000168,2026-03-20,for Whose Account the Securities are To Be Sold,to Issuer,,,,,COMMIS,2026-03-20,proposed,partial,
UNKNOWN,0001045810,0001950047-26-002865,2026-03-20,for Whose Account the Securities are To Be Sold,to Issuer,,,,,COMMIS,2026-03-20,proposed,partial,
UNKNOWN,0001045810,0001921094-26-000343,2026-03-19,for Whose Account the Securities are To Be Sold,to Issuer,,,,,COMMIS,2026-03-19,proposed,partial,
UNKNOWN,0001045810,0001921094-26-000341,2026-03-18,for Whose Account the Securities are To Be Sold,to Issuer,,,,,COMMIS,2026-03-18,proposed,partial,
UNKNOWN,0001045810,0001921094-26-000315,2026-03-13,for Whose Account the Securities are To Be Sold,to Issuer,,,,,COMMIS,2026-03-13,proposed,partial,
UNKNOWN,0001045810,0001921094-26-000296,2026-03-10,for Whose Account the Securities are To Be Sold,to Issuer,,,,,COMMIS,2026-03-10,proposed,partial,
UNKNOWN,0001045810,0001921094-26-000054,2026-01-21,for Whose Account the Securities are To Be Sold,to Issuer,,,,,COMMIS,2026-01-21,proposed,partial,
UNKNOWN,0001045810,0001921094-26-000026,2026-01-07,for Whose Account the Securities are To Be Sold,to Issuer,,,,,COMMIS,2026-01-07,proposed,partial,
UNKNOWN,0001045810,0001950047-26-000053,2026-01-02,for Whose Account the Securities are To Be Sold,to Issuer,,,,,COMMIS,2026-01-02,proposed,partial,
UNKNOWN,0001045810,0001628280-25-058369,2025-12-19,for Whose Account the Securities are To Be Sold,to Issuer,,,,,COMMIS,2025-12-19,proposed,partial,
UNKNOWN,0001045810,0001950047-25-010558,2025-12-19,for Whose Account the Securities are To Be Sold,to Issuer,,,,,COMMIS,2025-12-19,proposed,partial,
UNKNOWN,0001045810,0001628280-25-057153,2025-12-15,for Whose Account the Securities are To Be Sold,to Issuer,,,,,COMMIS,2025-12-15,proposed,partial,
UNKNOWN,0001045810,0001958244-25-004541,2025-12-12,for Whose Account the Securities are To Be Sold,to Issuer,,,,,COMMIS,2025-12-12,proposed,partial,
UNKNOWN,0001045810,0001950047-25-009999,2025-12-09,for Whose Account the Securities are To Be Sold,to Issuer,,,,,COMMIS,2025-12-09,proposed,partial,
UNKNOWN,0001045810,0001965301-25-000175,2025-12-02,for Whose Account the Securities are To Be Sold,to Issuer,,,,,COMMIS,2025-12-02,proposed,partial,
UNKNOWN,0001045810,0001921094-25-001416,2025-11-24,for Whose Account the Securities are To Be Sold,to Issuer,,,,,COMMIS,2025-11-24,proposed,partial,
UNKNOWN,0001045810,0001921094-25-001301,2025-10-29,for Whose Account the Securities are To Be Sold,to Issuer,,,,,COMMIS,2025-10-29,proposed,partial,
UNKNOWN,0001045810,0001921094-25-001296,2025-10-28,for Whose Account the Securities are To Be Sold,to Issuer,,,,,COMMIS,2025-10-28,proposed,partial,
UNKNOWN,0001045810,0001921094-25-001292,2025-10-27,for Whose Account the Securities are To Be Sold,to Issuer,,,,,COMMIS,2025-10-27,proposed,partial,
UNKNOWN,0001045810,0001921094-25-001288,2025-10-24,for Whose Account the Securities are To Be Sold,to Issuer,,,,,COMMIS,2025-10-24,proposed,partial,
UNKNOWN,0001045810,0001921094-25-001285,2025-10-23,for Whose Account the Securities are To Be Sold,to Issuer,,,,,COMMIS,2025-10-23,proposed,partial,
UNKNOWN,0001045810,0001921094-25-001284,2025-10-22,for Whose Account the Securities are To Be Sold,to Issuer,,,,,COMMIS,2025-10-22,proposed,partial,
UNKNOWN,0001045810,0001921094-25-001281,2025-10-21,for Whose Account the Securities are To Be Sold,to Issuer,,,,,COMMIS,2025-10-21,proposed,partial,
UNKNOWN,0001045810,0001921094-25-001276,2025-10-20,for Whose Account the Securities are To Be Sold,to Issuer,,,,,COMMIS,2025-10-20,proposed,partial,
