ticker,cik,metric,value,unit,period_start,period_end,fiscal_year,fiscal_period,form,filed,concept,source,status
MAIA,0001878313,cash_and_cash_equivalents,34413110,USD,,2026-03-31,2026,Q1,10-Q,2026-05-11,Cash,sec_companyfacts,ok
MAIA,0001878313,current_assets,35315127,USD,,2026-03-31,2026,Q1,10-Q,2026-05-11,AssetsCurrent,sec_companyfacts,ok
MAIA,0001878313,current_liabilities,6322437,USD,,2026-03-31,2026,Q1,10-Q,2026-05-11,LiabilitiesCurrent,sec_companyfacts,ok
MAIA,0001878313,total_assets,35322645,USD,,2026-03-31,2026,Q1,10-Q,2026-05-11,Assets,sec_companyfacts,ok
MAIA,0001878313,total_liabilities,7559877,USD,,2026-03-31,2026,Q1,10-Q,2026-05-11,Liabilities,sec_companyfacts,ok
MAIA,0001878313,stockholders_equity,27762768,USD,,2026-03-31,2026,Q1,10-Q,2026-05-11,StockholdersEquity,sec_companyfacts,ok
MAIA,0001878313,accumulated_deficit,-116000657,USD,,2026-03-31,2026,Q1,10-Q,2026-05-11,RetainedEarningsAccumulatedDeficit,sec_companyfacts,ok
MAIA,0001878313,research_and_development_expense,43651,USD,2026-01-01,2026-03-31,2026,Q1,10-Q,2026-05-11,ResearchAndDevelopmentExpense,sec_companyfacts,ok
MAIA,0001878313,general_and_administrative_expense,3424832,USD,2026-01-01,2026-03-31,2026,Q1,10-Q,2026-05-11,GeneralAndAdministrativeExpense,sec_companyfacts,ok
MAIA,0001878313,operating_expenses,6949929,USD,2026-01-01,2026-03-31,2026,Q1,10-Q,2026-05-11,OperatingExpenses,sec_companyfacts,ok
MAIA,0001878313,operating_loss,-6949929,USD,2026-01-01,2026-03-31,2026,Q1,10-Q,2026-05-11,OperatingIncomeLoss,sec_companyfacts,ok
MAIA,0001878313,net_loss,-6369652,USD,2026-01-01,2026-03-31,2026,Q1,10-Q,2026-05-11,NetIncomeLoss,sec_companyfacts,ok
MAIA,0001878313,weighted_average_shares_basic,45212103,shares,2026-01-01,2026-03-31,2026,Q1,10-Q,2026-05-11,WeightedAverageNumberOfSharesOutstandingBasic,sec_companyfacts,ok
MAIA,0001878313,weighted_average_shares_diluted,45212103,shares,2026-01-01,2026-03-31,2026,Q1,10-Q,2026-05-11,WeightedAverageNumberOfDilutedSharesOutstanding,sec_companyfacts,ok
MAIA,0001878313,net_cash_used_in_operating_activities,-5311328,USD,2026-01-01,2026-03-31,2026,Q1,10-Q,2026-05-11,NetCashProvidedByUsedInOperatingActivities,sec_companyfacts,ok
MAIA,0001878313,net_cash_provided_by_financing_activities,31052321,USD,2026-01-01,2026-03-31,2026,Q1,10-Q,2026-05-11,NetCashProvidedByUsedInFinancingActivities,sec_companyfacts,ok
MAIA,0001878313,common_shares_outstanding,60671491,shares,,2026-03-31,2026,Q1,10-Q,2026-05-11,CommonStockSharesOutstanding,sec_companyfacts,ok
MAIA,0001878313,common_shares_issued,60671491,shares,,2026-03-31,2026,Q1,10-Q,2026-05-11,CommonStockSharesIssued,sec_companyfacts,ok
MAIA,0001878313,preferred_shares_outstanding,0,shares,,2026-03-31,2026,Q1,10-Q,2026-05-11,PreferredStockSharesOutstanding,sec_companyfacts,ok
MAIA,0001878313,stock_based_compensation,650024,USD,2026-01-01,2026-03-31,2026,Q1,10-Q,2026-05-11,AllocatedShareBasedCompensationExpense,sec_companyfacts,ok
