ticker,cik,metric,value,unit,period_start,period_end,fiscal_year,fiscal_period,form,filed,concept,source,status
NVDA,0001045810,cash_and_cash_equivalents,13237000000,USD,,2026-04-26,2027,Q1,10-Q,2026-05-20,CashAndCashEquivalentsAtCarryingValue,sec_companyfacts,ok
NVDA,0001045810,current_assets,150995000000,USD,,2026-04-26,2027,Q1,10-Q,2026-05-20,AssetsCurrent,sec_companyfacts,ok
NVDA,0001045810,current_liabilities,43884000000,USD,,2026-04-26,2027,Q1,10-Q,2026-05-20,LiabilitiesCurrent,sec_companyfacts,ok
NVDA,0001045810,total_assets,259474000000,USD,,2026-04-26,2027,Q1,10-Q,2026-05-20,Assets,sec_companyfacts,ok
NVDA,0001045810,total_liabilities,64000000000,USD,,2026-04-26,2027,Q1,10-Q,2026-05-20,Liabilities,sec_companyfacts,ok
NVDA,0001045810,stockholders_equity,195474000000,USD,,2026-04-26,2027,Q1,10-Q,2026-05-20,StockholdersEquity,sec_companyfacts,ok
NVDA,0001045810,accumulated_deficit,185038000000,USD,,2026-04-26,2027,Q1,10-Q,2026-05-20,RetainedEarningsAccumulatedDeficit,sec_companyfacts,ok
NVDA,0001045810,revenue,81615000000,USD,2026-01-26,2026-04-26,2027,Q1,10-Q,2026-05-20,Revenues,sec_companyfacts,ok
NVDA,0001045810,cost_of_revenue,20458000000,USD,2026-01-26,2026-04-26,2027,Q1,10-Q,2026-05-20,CostOfRevenue,sec_companyfacts,ok
NVDA,0001045810,gross_profit,61157000000,USD,2026-01-26,2026-04-26,2027,Q1,10-Q,2026-05-20,GrossProfit,sec_companyfacts,ok
NVDA,0001045810,research_and_development_expense,6321000000,USD,2026-01-26,2026-04-26,2027,Q1,10-Q,2026-05-20,ResearchAndDevelopmentExpense,sec_companyfacts,ok
NVDA,0001045810,selling_general_and_administrative_expense,1300000000,USD,2026-01-26,2026-04-26,2027,Q1,10-Q,2026-05-20,SellingGeneralAndAdministrativeExpense,sec_companyfacts,ok
NVDA,0001045810,operating_expenses,7621000000,USD,2026-01-26,2026-04-26,2027,Q1,10-Q,2026-05-20,OperatingExpenses,sec_companyfacts,ok
NVDA,0001045810,operating_loss,53536000000,USD,2026-01-26,2026-04-26,2027,Q1,10-Q,2026-05-20,OperatingIncomeLoss,sec_companyfacts,ok
NVDA,0001045810,net_loss,58321000000,USD,2026-01-26,2026-04-26,2027,Q1,10-Q,2026-05-20,NetIncomeLoss,sec_companyfacts,ok
NVDA,0001045810,weighted_average_shares_basic,24286000000,shares,2026-01-26,2026-04-26,2027,Q1,10-Q,2026-05-20,WeightedAverageNumberOfSharesOutstandingBasic,sec_companyfacts,ok
NVDA,0001045810,weighted_average_shares_diluted,24391000000,shares,2026-01-26,2026-04-26,2027,Q1,10-Q,2026-05-20,WeightedAverageNumberOfDilutedSharesOutstanding,sec_companyfacts,ok
NVDA,0001045810,net_cash_used_in_operating_activities,50344000000,USD,2026-01-26,2026-04-26,2027,Q1,10-Q,2026-05-20,NetCashProvidedByUsedInOperatingActivities,sec_companyfacts,ok
NVDA,0001045810,net_cash_used_in_investing_activities,-26429000000,USD,2026-01-26,2026-04-26,2027,Q1,10-Q,2026-05-20,NetCashProvidedByUsedInInvestingActivities,sec_companyfacts,ok
NVDA,0001045810,net_cash_provided_by_financing_activities,-21283000000,USD,2026-01-26,2026-04-26,2027,Q1,10-Q,2026-05-20,NetCashProvidedByUsedInFinancingActivities,sec_companyfacts,ok
NVDA,0001045810,net_increase_in_cash,2632000000,USD,2026-01-26,2026-04-26,2027,Q1,10-Q,2026-05-20,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect,sec_companyfacts,ok
NVDA,0001045810,capital_expenditures,1100000000,USD,2026-01-26,2026-04-26,2027,Q1,10-Q,2026-05-20,CapitalExpendituresIncurredButNotYetPaid,sec_companyfacts,ok
NVDA,0001045810,stock_based_compensation,1928000000,USD,2026-01-26,2026-04-26,2027,Q1,10-Q,2026-05-20,AllocatedShareBasedCompensationExpense,sec_companyfacts,ok
